Tue Oct 24 15:07:03 2023 | temperature: 21.0°C | humidity: 76.0%
Tue Oct 24 15:07:08 2023 | temperature: 21.0°C | humidity: 76.0%
Tue Oct 24 15:07:20 2023 | temperature: 21.0°C | humidity: 77.0%
Tue Oct 24 15:07:47 2023 | temperature: 21.0°C | humidity: 84.0%
Tue Oct 24 15:07:56 2023 | temperature: 21.0°C | humidity: 80.0%
Tue Oct 24 15:08:02 2023 | temperature: 21.0°C | humidity: 78.0%
Tue Oct 24 15:08:11 2023 | temperature: 21.0°C | humidity: 76.0%
Tue Oct 24 15:08:20 2023 | temperature: 21.0°C | humidity: 76.0%
Tue Oct 24 15:08:25 2023 | temperature: 21.0°C | humidity: 75.0%
Tue Oct 24 15:08:34 2023 | temperature: 21.0°C | humidity: 75.0%
Tue Oct 24 15:08:43 2023 | temperature: 21.0°C | humidity: 75.0%
Tue Oct 24 15:08:49 2023 | temperature: 21.0°C | humidity: 75.0%
Tue Oct 24 15:08:55 2023 | temperature: 21.0°C | humidity: 75.0%
Tue Oct 24 15:09:01 2023 | temperature: 21.0°C | humidity: 75.0%
Tue Oct 24 15:09:10 2023 | temperature: 21.0°C | humidity: 75.0%
Tue Oct 24 15:09:16 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:09:22 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:09:30 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:09:40 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:09:46 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:09:52 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:09:58 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:10:04 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:10:10 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:10:18 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:10:27 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:10:33 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:10:45 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:10:56 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:11:02 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:11:08 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:11:14 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:11:20 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:11:26 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:11:32 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:11:38 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:11:45 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:11:56 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:12:04 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:12:12 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:12:24 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:12:30 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:12:39 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:12:45 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:12:51 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:12:57 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:13:03 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:13:09 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:13:16 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:13:22 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:13:28 2023 | temperature: 21.0°C | humidity: 73.0%
Tue Oct 24 15:13:34 2023 | temperature: 21.0°C | humidity: 74.0%
Tue Oct 24 15:13:40 2023 | temperature: 21.0°C | humidity: 74.0%
